Character,Alternate Names,Role,Faction,Friends,enimies
Sri,,,,,
Bhangasvana,,A Queen,Human,Indra,
Indra,,,,Brahma,
Krsna,,,,"Jambavati,Shiva",
Jambavati,,Krsna's Wife,Human,,
Upamanyu,,A Seer,Human,"Krsna,Shiva",
Shiva,,,,,
Tandi,,A Seer,Human,Shiva,
Astavakra,,An Ascetic,Human,"Vadanya,Kubera,Disa",
Vadanya,,A King,Human,,
Kubera,,,,,
Disa,,An Ascetic,Human,,
Vyasa,,,,Bhisma,
Angiras,,,,"Gautama,Bhisma",
Gautama,,,,Indra,
Matanga,,A Brahmin,Human,Indra,
Sambara,,A Demon,Demon,Indra,
Pancacuda,,An Apsares,Apsaras,Narada,
Devasarman,,A Seer,Human,"Ruci,Vipula",
Ruci,,Devasraman's Wife,Human,"Vipula,Indra",
Vipula,,Devasraman's Pupilm,Human,Indra,
Nahusa,,,,"Cyavana,Gavijata",
Cyavana,,,,,
Gavijata,,A Seer,Human,,
Kusika,,A King,Human,Cyavana,
Brhaspati,,,,Indra,
Devaki,,Mother of Krsna,Human,"Krsna,Narada",
Nrga,,A Lizard King,Animal,Krsna,
Uddalaki,,A Seer,Human,Naciketa,
Naciketa,,Uddalaki's Son,Human,Yama,
Yama,,,,,
Daksa,,A Godess,God,Surabhi,
Surabhi,,,,,
Saudasa,,A King,Human,Vasistha,
Samtanu,,,,Bhisma,
Rama,,,,Vasistha,
Uma,,,,"Shiva,Ganga",
Ganga,,,,"Agni,Krsna",
Taraka,,A Demon,Demon,,Skanda
Skanda,,,,,
Nimi,,A Seer,Human,"Srimat,Agni,Brahma,Soma",
Srimat,,Nimi's Son,Human,"Agni,Brahma,Soma",
Soma,,,,,
Jamadagni,,,,"Renuka,Surya",
Renuka,,,,Surya,
Surya,,,,,
Lady Earth,,,,Krsna,
Manu,,,,Suvarna,
Suvarna,,A Seer,Human,,
Bhgru,,,,Agastya,
Agastya,,,,Nahusa,
Bhagiratha,,A Seer,Human,Brahma,
Maitreya,,,,Vyasa,
Sumana,,,Human,Sandili,
Sandili,,,,,
Pradyumna,,,,"Krsna,Durvasas,Rukmini",
Durvasas,,,,Rukmini,
Yudhistra,,,,"Bhima,Arjuna,Nakula,Sahadeva,Narada,Krsna,Vyasa,Babhruvahana,Ulupi,Citran",
Bhima,,,,"Arjuna,Nakula,Sahadeva,Narada,Krsna,Babhruvahana,Ulupi,Citran",
Arjuna,,,,"Nakula,Sahadeva,Narada,Krsna",
Nakula,,,,"Sahadeva,Narada,Krsna,Babhruvahana,Ulupi,Citran",
Sahadeva,,,,"Narada,Krsna,Babhruvahana,Ulupi,Citran",
Narada,,,,,
Dhrtarastra,,,,"Yudhistra,Arjuna,Krsna,Bhima,Nakula,Sahadeva",
Krsna,,,,,
Vyasa,,,,,
Marutta,,A King,Human,"Aviksit,Brhaspati,Narada,Samvarta,Agni,Indra",
Aviksit,,Marutta's Father,Human,,
Brhaspati,,,,Indra,
Indra,,,,,
Samvarta,,A Seer,Human,"Brhaspati,Indra",
Agni,,,,Indra,
Vrtra,,,,,Indra
Janaka,,,,Dharma,
Dharma,,,,,
Gandhari,,,,"Arjuna,Krsna,Yudhistra,Bhima,Nakula,Sahadeva",
Kunti,,,,"Arjuna,Krsna,Yudhistra,Bhima,Nakula,Sahadeva,Babhruvahana,Ulupi,Citran,Vyasa",
Subhadra,,,,"Krsna,Satyaki,Babhruvahana,Ulupi,Citran",
Satyaki,,,,Krsna,
Uttanka,,,,"Krsna,Gautama,Indra,Agni,Saudasa",
Janamejaya,,,,Vaisampayana,
Gautama,,,,,
Ahalya,,Gautama's Wife,Human,"Gautama,Uttanka",
Saudasa,,,,,
Vasudeva,,,,"Krsna,Subhadra",
Uttara,,,,"Vyasa,Krsna",
Dhaumya,,,,Yudhistra,
Vidura,,,,"Krsna,Yudhistra,Arjuna,Bhima,Nakula,Sahadeva",
